#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-32-22', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-05T21:45:10.999849', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1672955110.999849}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
6	0	0	0	0	0	254
7	0	0	0	0	0	254
8	0	0	0	0	0	254
9	0	0	0	0	0	254
10	0	0	0	0	0	254
11	0	0	0	0	0	254
12	0	0	0	0	0	254
13	0	0	0	0	0	254
14	0	0	0	0	0	254
15	0	0	0	0	0	254
0	0	0	0	0	0	254
1	0	0	0	0	0	254
2	0	0	0	0	0	254
3	0	0	0	0	0	254
4	0	0	0	0	0	254
5	0	0	0	0	0	254
