#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-54-96', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:57:53.327090', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002673.32709}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
10	0	0	0	0	1776	1692
11	0	0	0	0	1774	1692
12	0	0	0	0	1937	1825
13	0	0	0	0	2247	2076
14	0	0	0	0	1782	1699
15	0	0	0	0	1776	1692
0	0	0	0	0	1776	1692
1	0	0	0	0	1778	1696
2	0	0	0	0	1776	1692
3	0	0	0	0	1776	1692
4	0	0	0	0	1877	1774
5	0	0	0	0	2832	2549
6	0	0	0	0	1797	1709
7	0	0	0	0	1779	1696
8	0	0	0	0	1778	1696
9	0	0	0	0	1777	1696
10	0	0	0	0	1777	1696
11	0	0	0	0	1778	1696
12	0	0	0	0	1807	1719
13	0	0	0	0	2831	2549
14	0	0	0	0	1781	1696
15	0	0	0	0	1779	1696
0	0	0	0	0	1776	1692
1	0	0	0	0	1777	1696
2	0	0	0	0	1776	1692
3	0	0	0	0	1777	1696
4	0	0	0	0	1779	1696
5	0	0	0	0	1788	1702
6	0	0	0	0	2651	2403
7	0	0	0	0	2801	2525
8	0	0	0	0	2807	2528
9	0	0	0	0	2803	2525
10	0	0	0	0	2807	2528
11	0	0	0	0	2803	2525
12	0	0	0	0	2805	2528
13	0	0	0	0	2800	2522
14	0	0	0	0	2794	2518
15	0	0	0	0	2789	2515
0	0	0	0	0	2759	2491
1	0	0	0	0	2747	2481
2	0	0	0	0	2737	2471
3	0	0	0	0	2119	1971
4	0	0	0	0	1776	1692
5	0	0	0	0	1776	1692
6	0	0	0	0	1777	1696
7	0	0	0	0	1776	1692
8	0	0	0	0	1776	1692
9	0	0	0	0	1777	1696
10	0	0	0	0	1776	1692
11	0	0	0	0	1776	1692
12	0	0	0	0	1777	1696
13	0	0	0	0	1776	1692
14	0	0	0	0	1777	1696
15	0	0	0	0	1777	1696
0	0	0	0	0	1776	1692
1	0	0	0	0	1777	1696
2	0	0	0	0	1777	1696
3	0	0	0	0	1778	1696
4	0	0	0	0	1779	1696
5	0	0	0	0	1776	1692
6	0	0	0	0	1778	1696
7	0	0	0	0	1776	1692
8	0	0	0	0	1779	1696
9	0	0	0	0	1760	1679
10	0	0	0	0	1729	1655
11	0	0	0	0	1642	1583
12	0	0	0	0	1629	1573
13	0	0	0	0	1649	1590
14	0	0	0	0	1627	1573
15	0	0	0	0	1622	1570
0	0	0	0	0	1605	1556
1	0	0	0	0	1597	1549
2	0	0	0	0	1587	1539
3	0	0	0	0	1587	1539
4	0	0	0	0	1584	1539
5	0	0	0	0	1584	1539
6	0	0	0	0	1584	1539
7	0	0	0	0	1584	1539
8	0	0	0	0	1578	1532
9	0	0	0	0	1580	1536
10	0	0	0	0	1579	1532
11	0	0	0	0	1574	1529
12	0	0	0	0	1567	1522
13	0	0	0	0	1562	1519
14	0	0	0	0	1558	1515
15	0	0	0	0	1552	1512
0	0	0	0	0	1546	1505
1	0	0	0	0	1533	1495
2	0	0	0	0	1517	1485
3	0	0	0	0	1511	1478
4	0	0	0	0	1488	1461
5	0	0	0	0	1767	1685
6	0	0	0	0	1776	1692
7	0	0	0	0	1776	1692
8	0	0	0	0	1773	1692
9	0	0	0	0	1776	1692
10	0	0	0	0	1787	1702
11	0	0	0	0	1799	1713
12	0	0	0	0	1895	1791
13	0	0	0	0	2159	2005
14	0	0	0	0	1725	1651
15	0	0	0	0	1173	1206
0	0	0	0	0	885	972
1	0	0	0	0	1059	1111
2	0	0	0	0	1123	1165
3	0	0	0	0	944	1019
4	0	0	0	0	822	921
5	0	0	0	0	765	873
6	0	0	0	0	742	856
7	0	0	0	0	734	849
8	0	0	0	0	738	853
9	0	0	0	0	742	856
10	0	0	0	0	742	856
11	0	0	0	0	742	856
12	0	0	0	0	743	856
13	0	0	0	0	749	863
14	0	0	0	0	752	863
15	0	0	0	0	755	866
0	0	0	0	0	1875	1774
1	0	0	0	0	1780	1696
2	0	0	0	0	1779	1696
3	0	0	0	0	1782	1699
4	0	0	0	0	1790	1706
5	0	0	0	0	1793	1706
6	0	0	0	0	1786	1702
7	0	0	0	0	1777	1696
8	0	0	0	0	1776	1692
9	0	0	0	0	1767	1685
10	0	0	0	0	1771	1689
11	0	0	0	0	1840	1747
12	0	0	0	0	1824	1733
13	0	0	0	0	1841	1747
14	0	0	0	0	1298	1305
15	0	0	0	0	1119	1162
0	0	0	0	0	784	890
1	0	0	0	0	1503	1471
2	0	0	0	0	1888	1784
3	0	0	0	0	1463	1441
4	0	0	0	0	1253	1271
5	0	0	0	0	1663	1600
6	0	0	0	0	1787	1702
7	0	0	0	0	1837	1743
8	0	0	0	0	1828	1736
9	0	0	0	0	1797	1709
10	0	0	0	0	1909	1801
11	0	0	0	0	1952	1835
12	0	0	0	0	2098	1954
13	0	0	0	0	2364	2168
14	0	0	0	0	2368	2171
15	0	0	0	0	2809	2528
0	0	0	0	0	2832	2549
1	0	0	0	0	2818	2539
2	0	0	0	0	2821	2539
3	0	0	0	0	2826	2545
4	0	0	0	0	2825	2542
5	0	0	0	0	2823	2542
6	0	0	0	0	2818	2539
7	0	0	0	0	2831	2549
8	0	0	0	0	2550	2321
9	0	0	0	0	1127	1169
10	0	0	0	0	861	951
11	0	0	0	0	1316	1322
12	0	0	0	0	1900	1794
13	0	0	0	0	2300	2117
14	0	0	0	0	2445	2236
15	0	0	0	0	2237	2066
0	0	0	0	0	2160	2005
1	0	0	0	0	2160	2005
2	0	0	0	0	2134	1985
3	0	0	0	0	2251	2076
4	0	0	0	0	2254	2080
5	0	0	0	0	2271	2093
6	0	0	0	0	2320	2134
7	0	0	0	0	2185	2025
8	0	0	0	0	1838	1743
9	0	0	0	0	1777	1696
10	0	0	0	0	1777	1696
11	0	0	0	0	1788	1702
12	0	0	0	0	1783	1699
13	0	0	0	0	1788	1702
14	0	0	0	0	1785	1699
15	0	0	0	0	1789	1702
0	0	0	0	0	1789	1702
1	0	0	0	0	1795	1709
2	0	0	0	0	1797	1709
3	0	0	0	0	1835	1740
4	0	0	0	0	1839	1743
5	0	0	0	0	1873	1770
6	0	0	0	0	1819	1730
7	0	0	0	0	2032	1900
8	0	0	0	0	2347	2154
9	0	0	0	0	2535	2307
10	0	0	0	0	1313	1318
11	0	0	0	0	758	870
12	0	0	0	0	931	1009
13	0	0	0	0	863	955
14	0	0	0	0	874	961
15	0	0	0	0	878	965
0	0	0	0	0	907	989
1	0	0	0	0	990	1057
2	0	0	0	0	1102	1148
3	0	0	0	0	1187	1216
4	0	0	0	0	1295	1305
5	0	0	0	0	1328	1329
6	0	0	0	0	1363	1359
7	0	0	0	0	1375	1369
8	0	0	0	0	1380	1373
9	0	0	0	0	1378	1369
10	0	0	0	0	1217	1240
11	0	0	0	0	1165	1199
12	0	0	0	0	1153	1189
13	0	0	0	0	1168	1199
14	0	0	0	0	1199	1227
15	0	0	0	0	1106	1152
0	0	0	0	0	1115	1159
1	0	0	0	0	1123	1165
2	0	0	0	0	1152	1189
3	0	0	0	0	1157	1193
4	0	0	0	0	1152	1189
5	0	0	0	0	1068	1121
6	0	0	0	0	1063	1114
7	0	0	0	0	1050	1104
8	0	0	0	0	1052	1108
9	0	0	0	0	1056	1111
10	0	0	0	0	1057	1111
11	0	0	0	0	1009	1070
12	0	0	0	0	995	1060
13	0	0	0	0	1008	1070
14	0	0	0	0	995	1060
15	0	0	0	0	1031	1091
0	0	0	0	0	1178	1210
1	0	0	0	0	1402	1390
2	0	0	0	0	1741	1665
3	0	0	0	0	1758	1679
4	0	0	0	0	1767	1685
5	0	0	0	0	1771	1689
6	0	0	0	0	1776	1692
7	0	0	0	0	1777	1696
8	0	0	0	0	1776	1692
9	0	0	0	0	1776	1692
10	0	0	0	0	1776	1692
11	0	0	0	0	1776	1692
12	0	0	0	0	1776	1692
13	0	0	0	0	1776	1692
14	0	0	0	0	1776	1692
15	0	0	0	0	1776	1692
0	0	0	0	0	1777	1696
1	0	0	0	0	1776	1692
2	0	0	0	0	1776	1692
3	0	0	0	0	1777	1696
4	0	0	0	0	1776	1692
5	0	0	0	0	1776	1692
6	0	0	0	0	1777	1696
7	0	0	0	0	1776	1692
8	0	0	0	0	1776	1692
9	0	0	0	0	1778	1696
10	0	0	0	0	1778	1696
11	0	0	0	0	1776	1692
12	0	0	0	0	1776	1692
13	0	0	0	0	1777	1696
14	0	0	0	0	1776	1692
15	0	0	0	0	1776	1692
0	0	0	0	0	1776	1692
1	0	0	0	0	1776	1692
2	0	0	0	0	1776	1692
3	0	0	0	0	1776	1692
4	0	0	0	0	1778	1696
5	0	0	0	0	1776	1692
6	0	0	0	0	1776	1692
7	0	0	0	0	1776	1692
8	0	0	0	0	1776	1692
9	0	0	0	0	1776	1692
10	0	0	0	0	1776	1692
11	0	0	0	0	1776	1692
12	0	0	0	0	1779	1696
13	0	0	0	0	1776	1692
14	0	0	0	0	1776	1692
15	0	0	0	0	1776	1692
0	0	0	0	0	1776	1692
1	0	0	0	0	1776	1692
2	0	0	0	0	1776	1692
3	0	0	0	0	1776	1692
4	0	0	0	0	1776	1692
5	0	0	0	0	1775	1692
