#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-32-22', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:52:37.045914', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002357.045914}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	3772	3290
1	0	0	0	0	3767	3286
2	0	0	0	0	3775	3293
3	0	0	0	0	3781	3297
4	0	0	0	0	3780	3297
5	0	0	0	0	3779	3297
6	0	0	0	0	443	611
7	0	0	0	0	441	608
8	0	0	0	0	397	574
9	0	0	0	0	442	611
10	0	0	0	0	442	611
11	0	0	0	0	3771	3290
12	0	0	0	0	3771	3290
13	0	0	0	0	3774	3293
14	0	0	0	0	2030	1889
15	0	0	0	0	2112	1954
0	0	0	0	0	2483	2253
1	0	0	0	0	3239	2861
2	0	0	0	0	2132	1971
3	0	0	0	0	3183	2817
4	0	0	0	0	1521	1478
5	0	0	0	0	1744	1658
6	0	0	0	0	977	1040
7	0	0	0	0	942	1012
8	0	0	0	0	1114	1152
9	0	0	0	0	1259	1267
10	0	0	0	0	531	683
11	0	0	0	0	496	652
12	0	0	0	0	461	625
13	0	0	0	0	484	645
14	0	0	0	0	461	625
15	0	0	0	0	478	639
0	0	0	0	0	443	611
1	0	0	0	0	450	618
2	0	0	0	0	448	615
3	0	0	0	0	446	615
4	0	0	0	0	451	618
5	0	0	0	0	443	611
6	0	0	0	0	442	611
7	0	0	0	0	444	611
8	0	0	0	0	443	611
9	0	0	0	0	443	611
10	0	0	0	0	446	615
11	0	0	0	0	534	683
12	0	0	0	0	446	615
13	0	0	0	0	604	740
14	0	0	0	0	1078	1121
15	0	0	0	0	1590	1536
0	0	0	0	0	917	992
1	0	0	0	0	485	645
2	0	0	0	0	832	924
3	0	0	0	0	448	615
4	0	0	0	0	502	659
5	0	0	0	0	451	618
6	0	0	0	0	445	611
7	0	0	0	0	443	611
8	0	0	0	0	448	615
9	0	0	0	0	446	615
10	0	0	0	0	444	611
11	0	0	0	0	442	611
12	0	0	0	0	445	611
13	0	0	0	0	446	615
14	0	0	0	0	444	611
15	0	0	0	0	445	611
0	0	0	0	0	439	608
1	0	0	0	0	439	608
2	0	0	0	0	446	615
3	0	0	0	0	447	615
4	0	0	0	0	446	615
5	0	0	0	0	446	615
6	0	0	0	0	443	611
7	0	0	0	0	444	611
8	0	0	0	0	444	611
9	0	0	0	0	448	615
10	0	0	0	0	444	611
11	0	0	0	0	443	611
12	0	0	0	0	443	611
13	0	0	0	0	444	611
14	0	0	0	0	443	611
15	0	0	0	0	444	611
0	0	0	0	0	443	611
1	0	0	0	0	448	615
2	0	0	0	0	444	611
3	0	0	0	0	445	611
4	0	0	0	0	443	611
5	0	0	0	0	445	611
6	0	0	0	0	442	611
7	0	0	0	0	446	615
8	0	0	0	0	445	611
9	0	0	0	0	445	611
10	0	0	0	0	444	611
11	0	0	0	0	445	611
12	0	0	0	0	443	611
13	0	0	0	0	446	615
14	0	0	0	0	445	611
15	0	0	0	0	445	611
0	0	0	0	0	443	611
1	0	0	0	0	445	611
2	0	0	0	0	446	615
3	0	0	0	0	445	611
4	0	0	0	0	447	615
5	0	0	0	0	446	615
6	0	0	0	0	445	611
7	0	0	0	0	446	615
8	0	0	0	0	444	611
9	0	0	0	0	446	615
10	0	0	0	0	446	615
11	0	0	0	0	445	611
12	0	0	0	0	443	611
13	0	0	0	0	446	615
14	0	0	0	0	443	611
15	0	0	0	0	445	611
0	0	0	0	0	442	611
1	0	0	0	0	443	611
2	0	0	0	0	443	611
3	0	0	0	0	448	615
4	0	0	0	0	446	615
5	0	0	0	0	447	615
6	0	0	0	0	445	611
7	0	0	0	0	448	615
8	0	0	0	0	447	615
9	0	0	0	0	444	611
10	0	0	0	0	445	611
11	0	0	0	0	447	615
12	0	0	0	0	448	615
13	0	0	0	0	447	615
14	0	0	0	0	443	611
15	0	0	0	0	446	615
0	0	0	0	0	445	611
1	0	0	0	0	447	615
2	0	0	0	0	448	615
3	0	0	0	0	445	611
4	0	0	0	0	446	615
5	0	0	0	0	446	615
6	0	0	0	0	446	615
7	0	0	0	0	443	611
8	0	0	0	0	448	615
9	0	0	0	0	445	611
10	0	0	0	0	447	615
11	0	0	0	0	443	611
12	0	0	0	0	446	615
13	0	0	0	0	448	615
14	0	0	0	0	445	611
15	0	0	0	0	445	611
0	0	0	0	0	446	615
1	0	0	0	0	447	615
2	0	0	0	0	435	605
3	0	0	0	0	433	605
4	0	0	0	0	427	598
5	0	0	0	0	418	591
6	0	0	0	0	410	584
7	0	0	0	0	400	577
8	0	0	0	0	394	571
9	0	0	0	0	394	571
10	0	0	0	0	400	577
11	0	0	0	0	411	584
12	0	0	0	0	432	601
13	0	0	0	0	443	611
14	0	0	0	0	448	615
15	0	0	0	0	444	611
0	0	0	0	0	443	611
1	0	0	0	0	448	615
2	0	0	0	0	446	615
3	0	0	0	0	445	611
4	0	0	0	0	445	611
5	0	0	0	0	447	615
6	0	0	0	0	446	615
7	0	0	0	0	445	611
8	0	0	0	0	444	611
9	0	0	0	0	446	615
10	0	0	0	0	448	615
11	0	0	0	0	446	615
12	0	0	0	0	446	615
13	0	0	0	0	447	615
14	0	0	0	0	446	615
15	0	0	0	0	444	611
0	0	0	0	0	443	611
1	0	0	0	0	446	615
2	0	0	0	0	445	611
3	0	0	0	0	447	615
4	0	0	0	0	447	615
5	0	0	0	0	446	615
6	0	0	0	0	448	615
7	0	0	0	0	444	611
8	0	0	0	0	448	615
9	0	0	0	0	445	611
10	0	0	0	0	446	615
11	0	0	0	0	451	618
12	0	0	0	0	445	611
13	0	0	0	0	445	611
14	0	0	0	0	443	611
15	0	0	0	0	444	611
0	0	0	0	0	445	611
1	0	0	0	0	446	615
2	0	0	0	0	449	615
3	0	0	0	0	446	615
4	0	0	0	0	447	615
5	0	0	0	0	442	611
6	0	0	0	0	445	611
7	0	0	0	0	448	615
8	0	0	0	0	445	611
9	0	0	0	0	445	611
10	0	0	0	0	445	611
11	0	0	0	0	446	615
12	0	0	0	0	445	611
13	0	0	0	0	448	615
14	0	0	0	0	445	611
15	0	0	0	0	446	615
0	0	0	0	0	446	615
1	0	0	0	0	446	615
