#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-32-22', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:54:03.004327', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002443.004327}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	3452	3035
1	0	0	0	0	438	608
2	0	0	0	0	440	608
3	0	0	0	0	443	611
4	0	0	0	0	442	611
5	0	0	0	0	442	611
6	0	0	0	0	446	615
7	0	0	0	0	443	611
8	0	0	0	0	443	611
9	0	0	0	0	443	611
10	0	0	0	0	447	615
11	0	0	0	0	445	611
12	0	0	0	0	445	611
13	0	0	0	0	447	615
14	0	0	0	0	2702	2430
15	0	0	0	0	3772	3290
0	0	0	0	0	3775	3293
1	0	0	0	0	3773	3293
2	0	0	0	0	3777	3297
3	0	0	0	0	3773	3293
4	0	0	0	0	3774	3293
5	0	0	0	0	3600	3154
6	0	0	0	0	3481	3055
7	0	0	0	0	3184	2817
8	0	0	0	0	3241	2865
9	0	0	0	0	2993	2664
10	0	0	0	0	3022	2688
11	0	0	0	0	2943	2624
12	0	0	0	0	2846	2545
13	0	0	0	0	2613	2358
14	0	0	0	0	2534	2294
15	0	0	0	0	2097	1944
0	0	0	0	0	2160	1995
1	0	0	0	0	2032	1889
2	0	0	0	0	1973	1842
3	0	0	0	0	1909	1791
4	0	0	0	0	1350	1342
5	0	0	0	0	1596	1539
6	0	0	0	0	1252	1264
7	0	0	0	0	871	955
8	0	0	0	0	506	662
9	0	0	0	0	443	611
10	0	0	0	0	446	615
11	0	0	0	0	446	615
12	0	0	0	0	444	611
13	0	0	0	0	445	611
14	0	0	0	0	445	611
15	0	0	0	0	445	611
0	0	0	0	0	444	611
1	0	0	0	0	446	615
2	0	0	0	0	446	615
3	0	0	0	0	445	611
4	0	0	0	0	444	611
5	0	0	0	0	446	615
6	0	0	0	0	446	615
7	0	0	0	0	445	611
8	0	0	0	0	443	611
9	0	0	0	0	443	611
10	0	0	0	0	443	611
11	0	0	0	0	441	608
12	0	0	0	0	442	611
13	0	0	0	0	443	611
14	0	0	0	0	443	611
15	0	0	0	0	447	615
0	0	0	0	0	446	615
1	0	0	0	0	446	615
2	0	0	0	0	445	611
3	0	0	0	0	446	615
4	0	0	0	0	445	611
5	0	0	0	0	445	611
6	0	0	0	0	442	611
7	0	0	0	0	443	611
8	0	0	0	0	444	611
9	0	0	0	0	446	615
10	0	0	0	0	446	615
11	0	0	0	0	448	615
12	0	0	0	0	445	611
13	0	0	0	0	441	608
14	0	0	0	0	442	611
15	0	0	0	0	446	615
0	0	0	0	0	442	611
1	0	0	0	0	446	615
2	0	0	0	0	446	615
3	0	0	0	0	444	611
4	0	0	0	0	445	611
5	0	0	0	0	443	611
6	0	0	0	0	448	615
7	0	0	0	0	446	615
8	0	0	0	0	446	615
9	0	0	0	0	447	615
10	0	0	0	0	446	615
11	0	0	0	0	447	615
12	0	0	0	0	447	615
13	0	0	0	0	445	611
14	0	0	0	0	443	611
15	0	0	0	0	443	611
0	0	0	0	0	443	611
1	0	0	0	0	446	615
2	0	0	0	0	444	611
3	0	0	0	0	443	611
4	0	0	0	0	445	611
5	0	0	0	0	446	615
6	0	0	0	0	447	615
7	0	0	0	0	446	615
8	0	0	0	0	446	615
9	0	0	0	0	446	615
10	0	0	0	0	446	615
11	0	0	0	0	443	611
12	0	0	0	0	447	615
13	0	0	0	0	446	615
14	0	0	0	0	437	605
15	0	0	0	0	432	601
0	0	0	0	0	446	615
1	0	0	0	0	447	615
