#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-32-22', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:56:31.817958', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002591.817958}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	3776	3293
1	0	0	0	0	3769	3290
2	0	0	0	0	3775	3293
3	0	0	0	0	3771	3290
4	0	0	0	0	3772	3290
5	0	0	0	0	3770	3290
6	0	0	0	0	3767	3286
7	0	0	0	0	3767	3286
8	0	0	0	0	3775	3293
9	0	0	0	0	3777	3297
10	0	0	0	0	3776	3293
11	0	0	0	0	3769	3290
12	0	0	0	0	3770	3290
13	0	0	0	0	3770	3290
14	0	0	0	0	3771	3290
15	0	0	0	0	3770	3290
0	0	0	0	0	3769	3290
1	0	0	0	0	3770	3290
2	0	0	0	0	3770	3290
3	0	0	0	0	3779	3297
4	0	0	0	0	3764	3283
5	0	0	0	0	3777	3297
6	0	0	0	0	3774	3293
7	0	0	0	0	3774	3293
8	0	0	0	0	3770	3290
9	0	0	0	0	3769	3290
10	0	0	0	0	3766	3286
11	0	0	0	0	3770	3290
12	0	0	0	0	3776	3293
13	0	0	0	0	3773	3293
14	0	0	0	0	3765	3286
15	0	0	0	0	3769	3290
0	0	0	0	0	3767	3286
1	0	0	0	0	3769	3290
2	0	0	0	0	3769	3290
3	0	0	0	0	3775	3293
4	0	0	0	0	3767	3286
5	0	0	0	0	3765	3286
6	0	0	0	0	3765	3286
7	0	0	0	0	3774	3293
8	0	0	0	0	3766	3286
9	0	0	0	0	3775	3293
10	0	0	0	0	3767	3286
11	0	0	0	0	3767	3286
12	0	0	0	0	3768	3286
13	0	0	0	0	3769	3290
14	0	0	0	0	3767	3286
15	0	0	0	0	3771	3290
0	0	0	0	0	3767	3286
1	0	0	0	0	3774	3293
2	0	0	0	0	3770	3290
3	0	0	0	0	3776	3293
4	0	0	0	0	3769	3290
5	0	0	0	0	3776	3293
6	0	0	0	0	3765	3286
7	0	0	0	0	3767	3286
8	0	0	0	0	3770	3290
9	0	0	0	0	3778	3297
10	0	0	0	0	3777	3297
11	0	0	0	0	3767	3286
12	0	0	0	0	3766	3286
13	0	0	0	0	3763	3283
14	0	0	0	0	3769	3290
15	0	0	0	0	3769	3290
0	0	0	0	0	3767	3286
1	0	0	0	0	3766	3286
2	0	0	0	0	3766	3286
3	0	0	0	0	3774	3293
4	0	0	0	0	3774	3293
5	0	0	0	0	3766	3286
6	0	0	0	0	3778	3297
7	0	0	0	0	3769	3290
8	0	0	0	0	3767	3286
9	0	0	0	0	3775	3293
10	0	0	0	0	3767	3286
11	0	0	0	0	3767	3286
12	0	0	0	0	3775	3293
13	0	0	0	0	3773	3293
14	0	0	0	0	3765	3286
15	0	0	0	0	3769	3290
0	0	0	0	0	3775	3293
1	0	0	0	0	3766	3286
2	0	0	0	0	3767	3286
3	0	0	0	0	3766	3286
4	0	0	0	0	3770	3290
5	0	0	0	0	3778	3297
6	0	0	0	0	3779	3297
7	0	0	0	0	3772	3290
8	0	0	0	0	3773	3293
9	0	0	0	0	1033	1087
10	0	0	0	0	2918	2603
11	0	0	0	0	2625	2369
12	0	0	0	0	3771	3290
13	0	0	0	0	3771	3290
14	0	0	0	0	3771	3290
15	0	0	0	0	3772	3290
0	0	0	0	0	3770	3290
1	0	0	0	0	3773	3293
2	0	0	0	0	3769	3290
3	0	0	0	0	3778	3297
4	0	0	0	0	3770	3290
5	0	0	0	0	3771	3290
6	0	0	0	0	3774	3293
7	0	0	0	0	3773	3293
8	0	0	0	0	3773	3293
9	0	0	0	0	3771	3290
10	0	0	0	0	3771	3290
11	0	0	0	0	3771	3290
12	0	0	0	0	3775	3293
13	0	0	0	0	3777	3297
14	0	0	0	0	3771	3290
15	0	0	0	0	3774	3293
0	0	0	0	0	3773	3293
1	0	0	0	0	3776	3293
2	0	0	0	0	3774	3293
3	0	0	0	0	3769	3290
4	0	0	0	0	3773	3293
5	0	0	0	0	3779	3297
6	0	0	0	0	3770	3290
7	0	0	0	0	3745	3269
8	0	0	0	0	3774	3293
9	0	0	0	0	3670	3208
10	0	0	0	0	3711	3242
11	0	0	0	0	3590	3144
12	0	0	0	0	3349	2950
13	0	0	0	0	3495	3069
14	0	0	0	0	3488	3062
15	0	0	0	0	3411	3001
0	0	0	0	0	3269	2885
1	0	0	0	0	3504	3076
2	0	0	0	0	3379	2974
3	0	0	0	0	3463	3042
