#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-32-22', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:54:58.367491', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002498.367491}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	3771	3290
1	0	0	0	0	3769	3290
2	0	0	0	0	3770	3290
3	0	0	0	0	3781	3297
4	0	0	0	0	3771	3290
5	0	0	0	0	3769	3290
6	0	0	0	0	3771	3290
7	0	0	0	0	3775	3293
8	0	0	0	0	3770	3290
9	0	0	0	0	3769	3290
10	0	0	0	0	3781	3297
11	0	0	0	0	3771	3290
12	0	0	0	0	3778	3297
13	0	0	0	0	3771	3290
14	0	0	0	0	3771	3290
15	0	0	0	0	3769	3290
0	0	0	0	0	3770	3290
1	0	0	0	0	3773	3293
2	0	0	0	0	3773	3293
3	0	0	0	0	3777	3297
4	0	0	0	0	3771	3290
5	0	0	0	0	3781	3297
6	0	0	0	0	3774	3293
7	0	0	0	0	3770	3290
8	0	0	0	0	3772	3290
9	0	0	0	0	3776	3293
10	0	0	0	0	3776	3293
11	0	0	0	0	3773	3293
12	0	0	0	0	3773	3293
13	0	0	0	0	3770	3290
14	0	0	0	0	3771	3290
15	0	0	0	0	3771	3290
0	0	0	0	0	3769	3290
1	0	0	0	0	3774	3293
2	0	0	0	0	3779	3297
3	0	0	0	0	3777	3297
4	0	0	0	0	3769	3290
5	0	0	0	0	3774	3293
6	0	0	0	0	3770	3290
7	0	0	0	0	3770	3290
8	0	0	0	0	3777	3297
9	0	0	0	0	3773	3293
10	0	0	0	0	3767	3286
11	0	0	0	0	3769	3290
12	0	0	0	0	3771	3290
13	0	0	0	0	3773	3293
14	0	0	0	0	3771	3290
15	0	0	0	0	3769	3290
0	0	0	0	0	3778	3297
1	0	0	0	0	3781	3297
2	0	0	0	0	3779	3297
3	0	0	0	0	3770	3290
4	0	0	0	0	3771	3290
5	0	0	0	0	3772	3290
6	0	0	0	0	3769	3290
7	0	0	0	0	3765	3286
8	0	0	0	0	3779	3297
9	0	0	0	0	3771	3290
10	0	0	0	0	3777	3297
11	0	0	0	0	3769	3290
12	0	0	0	0	3766	3286
13	0	0	0	0	3767	3286
14	0	0	0	0	3767	3286
15	0	0	0	0	3771	3290
0	0	0	0	0	3775	3293
1	0	0	0	0	3770	3290
2	0	0	0	0	3771	3290
3	0	0	0	0	3770	3290
4	0	0	0	0	3779	3297
5	0	0	0	0	3771	3290
6	0	0	0	0	3771	3290
7	0	0	0	0	3770	3290
8	0	0	0	0	3779	3297
9	0	0	0	0	3770	3290
10	0	0	0	0	3767	3286
11	0	0	0	0	3771	3290
12	0	0	0	0	3769	3290
13	0	0	0	0	3780	3297
14	0	0	0	0	3769	3290
15	0	0	0	0	3769	3290
0	0	0	0	0	3771	3290
1	0	0	0	0	3770	3290
2	0	0	0	0	3771	3290
3	0	0	0	0	3772	3290
4	0	0	0	0	3771	3290
5	0	0	0	0	3774	3293
6	0	0	0	0	3771	3290
7	0	0	0	0	3771	3290
8	0	0	0	0	3771	3290
9	0	0	0	0	3776	3293
10	0	0	0	0	3771	3290
11	0	0	0	0	3774	3293
12	0	0	0	0	3771	3290
13	0	0	0	0	3771	3290
14	0	0	0	0	3768	3286
15	0	0	0	0	3773	3293
0	0	0	0	0	3771	3290
1	0	0	0	0	3782	3300
2	0	0	0	0	3776	3293
3	0	0	0	0	3777	3297
4	0	0	0	0	3778	3297
5	0	0	0	0	3773	3293
6	0	0	0	0	3773	3293
7	0	0	0	0	3771	3290
8	0	0	0	0	3770	3290
9	0	0	0	0	3770	3290
10	0	0	0	0	3778	3297
11	0	0	0	0	3767	3286
12	0	0	0	0	3770	3290
13	0	0	0	0	3770	3290
14	0	0	0	0	3780	3297
15	0	0	0	0	3774	3293
0	0	0	0	0	3769	3290
1	0	0	0	0	3774	3293
2	0	0	0	0	3775	3293
3	0	0	0	0	3771	3290
4	0	0	0	0	3774	3293
5	0	0	0	0	3770	3290
6	0	0	0	0	3778	3297
7	0	0	0	0	3771	3290
8	0	0	0	0	3775	3293
9	0	0	0	0	3772	3290
10	0	0	0	0	3773	3293
11	0	0	0	0	3773	3293
12	0	0	0	0	3773	3293
13	0	0	0	0	3527	3093
14	0	0	0	0	3187	2821
15	0	0	0	0	3326	2933
0	0	0	0	0	3773	3293
1	0	0	0	0	3770	3290
2	0	0	0	0	3770	3290
3	0	0	0	0	3771	3290
4	0	0	0	0	3771	3290
5	0	0	0	0	3775	3293
6	0	0	0	0	3773	3293
7	0	0	0	0	2587	2338
8	0	0	0	0	2393	2182
9	0	0	0	0	2559	2314
10	0	0	0	0	2224	2046
11	0	0	0	0	2036	1893
12	0	0	0	0	2001	1866
13	0	0	0	0	1953	1828
14	0	0	0	0	1873	1764
15	0	0	0	0	1745	1658
0	0	0	0	0	1786	1692
1	0	0	0	0	1482	1447
2	0	0	0	0	1442	1417
3	0	0	0	0	987	1050
