#{'API version': '1.0.5', 'Channels': [1], 'Channels indexes mV': [6], 'Channels indexes raw': [5], 'Channels labels': ['AI1_raw', 'AI1_mv'], 'Device': '/dev/cu.ScientISST-54-96', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv'], 'ISO 8601': '2023-01-06T10:58:58.990748', 'Resolution (bits)': [4, 1, 1, 1, 1, 12], 'Sampling rate (Hz)': 10, 'Timestamp': 1673002738.990748}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv
0	0	0	0	0	1790	1706
1	0	0	0	0	1785	1699
2	0	0	0	0	1783	1699
3	0	0	0	0	1786	1702
4	0	0	0	0	1787	1702
5	0	0	0	0	1789	1702
6	0	0	0	0	1786	1702
7	0	0	0	0	1786	1702
8	0	0	0	0	1789	1702
9	0	0	0	0	1789	1702
10	0	0	0	0	1785	1699
11	0	0	0	0	1783	1699
12	0	0	0	0	1789	1702
13	0	0	0	0	1786	1702
14	0	0	0	0	1786	1702
15	0	0	0	0	1790	1706
0	0	0	0	0	1787	1702
1	0	0	0	0	1787	1702
2	0	0	0	0	1792	1706
3	0	0	0	0	1792	1706
4	0	0	0	0	1791	1706
5	0	0	0	0	1791	1706
6	0	0	0	0	1795	1709
7	0	0	0	0	1818	1726
8	0	0	0	0	1942	1828
9	0	0	0	0	2512	2290
10	0	0	0	0	2229	2059
11	0	0	0	0	2128	1978
12	0	0	0	0	2160	2005
13	0	0	0	0	2186	2025
14	0	0	0	0	2256	2083
15	0	0	0	0	2267	2090
0	0	0	0	0	2274	2097
1	0	0	0	0	2258	2083
2	0	0	0	0	2224	2056
3	0	0	0	0	2258	2083
4	0	0	0	0	2278	2100
5	0	0	0	0	2295	2114
6	0	0	0	0	2295	2114
7	0	0	0	0	2306	2124
8	0	0	0	0	2303	2120
9	0	0	0	0	2317	2131
10	0	0	0	0	2317	2131
11	0	0	0	0	2329	2141
12	0	0	0	0	2314	2127
13	0	0	0	0	2320	2134
14	0	0	0	0	2329	2141
15	0	0	0	0	2351	2158
0	0	0	0	0	2310	2127
1	0	0	0	0	2116	1968
2	0	0	0	0	1970	1852
3	0	0	0	0	1909	1801
4	0	0	0	0	1872	1770
5	0	0	0	0	1844	1747
6	0	0	0	0	1826	1733
7	0	0	0	0	1823	1730
8	0	0	0	0	1820	1730
9	0	0	0	0	1811	1723
