#scientisst_nseq	scientisst_raw_AI1	scientisst_raw_AI2	scientisst_raw_AI3	scientisst_raw_AI4	scientisst_raw_AI5	scientisst_raw_AI6
2	1911	0	948	737	787	1632
3	1920	0	944	756	793	1682
4	1918	0	945	759	795	1776
5	1913	0	944	746	790	1611
6	1917	0	945	754	793	1875
7	1917	0	945	747	795	1741
8	1919	0	954	749	790	1716
9	1919	0	937	752	791	1743
10	1911	0	940	742	785	3615
11	1915	0	949	741	788	1651
12	1914	0	926	739	797	1833
13	1913	0	946	747	785	1693
14	1911	0	960	741	773	1765
15	1904	0	922	742	746	1721
0	1901	0	932	735	749	3777
1	1895	0	939	734	751	1717
2	1895	0	933	749	757	1861
3	1894	0	945	751	800	1714
4	1892	0	957	782	786	1750
5	1897	0	965	771	800	1790
6	1895	0	962	774	810	1170
7	1903	0	979	775	820	1619
8	1900	0	971	766	816	2011
9	1904	0	962	771	815	1729
10	1906	0	957	764	816	1764
11	1915	0	950	771	795	1674
12	1908	0	912	762	790	1730
13	1907	0	910	787	753	1662
14	1907	0	889	791	762	2017
15	1907	0	921	781	752	1709
0	1907	0	955	758	752	1680
1	1911	0	944	766	752	1706
2	1919	0	940	784	752	1059
3	1918	0	944	771	736	1632
4	1917	0	987	782	769	1920
5	1910	0	906	775	767	1787
6	1910	0	961	750	781	1704
7	1906	0	944	769	752	1724
8	1906	0	933	765	768	1880
9	1904	0	960	765	768	1614
10	1902	0	933	770	768	1786
11	1905	0	944	779	766	1758
12	1904	0	973	765	764	1684
13	1904	0	944	778	752	1572
14	1901	0	946	771	755	1248
15	1904	0	944	779	747	1616
0	1904	0	944	774	757	1808
1	1904	0	939	752	769	1778
2	1904	0	939	735	759	1717
3	1909	0	949	752	765	1647
4	1907	0	944	749	758	1443
5	1908	0	941	751	757	1597
6	1908	0	943	755	752	1739
7	1914	0	942	754	753	1821
8	1909	0	945	748	754	1786
9	1911	0	944	749	757	1737
10	1911	0	944	751	754	1792
11	1915	0	944	751	757	1597
12	1906	0	943	752	757	1751
13	1908	0	944	751	755	1849
14	1910	0	944	752	755	1777
15	1910	0	944	752	766	1701
0	1914	0	939	750	758	1716
1	1904	0	947	749	750	2701
2	1904	0	933	752	753	1605
3	1904	0	945	749	752	1792
4	1904	0	939	745	761	1735
5	1904	0	944	761	753	1718
6	1904	0	976	740	766	1737
7	1907	0	909	747	758	1871
8	1909	0	928	778	771	1673
9	1909	0	960	779	784	1882
10	1905	0	943	780	784	1743
11	1910	0	948	794	784	1744
12	1912	0	943	786	791	1721
13	1915	0	950	796	805	1447
14	1915	0	943	799	809	1722
15	1915	0	930	794	804	1823
0	1913	0	951	800	800	1779
1	1917	0	944	799	805	1739
2	1919	0	943	801	811	1767
3	1920	0	939	797	803	1584
4	1918	0	946	800	795	1722
5	1915	0	941	798	799	1743
6	1914	0	944	802	793	1785
7	1911	0	939	797	798	1707
8	1914	0	944	798	797	1316
9	1910	0	942	800	791	1648
10	1914	0	943	794	790	1776
11	1913	0	947	799	796	1774
12	1911	0	939	801	793	1747
13	1910	0	944	803	791	1757
