#scientisst_nseq	scientisst_raw_AI1	scientisst_raw_AI2	scientisst_raw_AI3	scientisst_raw_AI4	scientisst_raw_AI5	scientisst_raw_AI6
0	1885	0	938	745	769	1677
1	1885	0	938	743	768	1664
2	1887	0	939	743	765	1674
3	1889	0	941	744	768	1639
4	1891	0	943	743	766	1661
5	1887	0	943	741	766	1680
6	1886	0	944	743	767	1716
7	1887	0	943	741	768	1698
8	1886	0	943	743	770	1696
9	1885	0	941	743	766	1690
10	1888	0	943	746	763	1698
11	1887	0	944	745	766	1696
12	1887	0	943	742	768	1714
13	1887	0	944	743	768	1570
14	1888	0	944	746	764	1169
15	1888	0	941	742	768	2117
0	1887	0	944	742	768	3773
1	1887	0	941	743	768	3775
2	1885	0	941	744	770	3203
3	1887	0	941	746	768	949
4	1892	0	944	747	768	1825
5	1887	0	940	742	769	1520
6	1889	0	940	744	767	1525
7	1893	0	942	745	767	1550
8	1891	0	941	751	762	1567
9	1887	0	946	745	766	1577
10	1886	0	944	743	769	1590
11	1888	0	941	741	773	1589
12	1886	0	939	738	768	1616
13	1890	0	939	738	766	1618
14	1890	0	941	741	770	1645
15	1888	0	943	743	768	1648
0	1886	0	944	741	767	1676
1	1888	0	943	742	763	1689
2	1888	0	944	742	768	1743
3	1886	0	942	741	767	1758
4	1887	0	940	747	770	1779
5	1889	0	943	747	767	1802
6	1887	0	938	743	767	1839
7	1887	0	938	746	767	1829
8	1895	0	943	744	766	1821
9	1888	0	942	746	769	1790
10	1889	0	945	742	764	1788
11	1891	0	944	743	768	1743
12	1886	0	941	745	768	1727
13	1887	0	942	741	766	1706
14	1889	0	945	745	767	1685
15	1887	0	944	742	766	1662
0	1886	0	941	743	765	1681
1	1893	0	944	741	768	1666
2	1885	0	938	742	768	1681
3	1886	0	938	745	768	1676
4	1886	0	941	744	770	1691
5	1885	0	941	746	768	1682
6	1892	0	940	743	767	1699
7	1889	0	941	741	767	1690
8	1888	0	942	746	768	1693
9	1886	0	941	741	763	1680
10	1887	0	944	743	768	1679
11	1886	0	944	741	767	1669
12	1886	0	942	742	762	1678
13	1885	0	943	745	765	1662
14	1890	0	941	746	764	1675
15	1885	0	942	739	769	1662
0	1887	0	943	742	767	1677
1	1885	0	941	745	769	1638
2	1887	0	940	747	770	1648
3	1885	0	937	749	766	1624
4	1890	0	940	749	765	1615
5	1883	0	938	745	763	1629
6	1884	0	943	745	768	1683
7	1886	0	942	746	763	1695
8	1885	0	944	743	767	1687
9	1885	0	938	746	762	1645
10	1882	0	944	743	759	1686
11	1884	0	943	743	762	1680
12	1885	0	942	742	766	1691
13	1889	0	942	739	761	1667
14	1888	0	940	746	759	1351
15	1884	0	944	741	763	1414
0	1885	0	943	742	768	3245
1	1889	0	943	739	763	3785
2	1885	0	938	739	763	3774
3	1889	0	936	742	763	1453
4	1885	0	942	743	763	1465
5	1883	0	939	737	763	1681
6	1885	0	941	743	767	1488
7	1888	0	943	742	759	1558
8	1883	0	944	739	758	1555
9	1885	0	942	743	757	1562
10	1883	0	944	745	761	1589
11	1883	0	944	743	768	1568
12	1885	0	938	745	766	1601
13	1888	0	941	742	764	1606
14	1883	0	939	743	763	1626
15	1884	0	942	746	765	1638
0	1889	0	944	744	762	1654
1	1889	0	942	743	762	1679
2	1883	0	944	743	765	1714
3	1886	0	944	747	763	1737
4	1886	0	944	745	768	1760
5	1886	0	939	743	766	1776
6	1886	0	935	749	766	1803
7	1885	0	939	746	767	1803
8	1888	0	934	747	765	1809
9	1886	0	934	742	763	1787
10	1886	0	935	741	759	1767
11	1890	0	934	739	759	1738
12	1887	0	939	734	761	1723
13	1889	0	937	733	754	1678
14	1885	0	939	731	752	1682
15	1888	0	939	734	752	1662
6	3555	3874	34	2752	3587	50
11	103	304	1885	0	948	751
3	1883	0	947	747	761	1678
4	1885	0	944	751	768	1683
5	1883	0	944	750	767	1680
6	1889	0	944	753	771	1712
7	1893	0	945	754	771	1680
8	1887	0	944	757	774	1693
9	1886	0	945	752	777	1687
10	1885	0	944	752	774	1709
11	1887	0	944	752	775	1680
12	1886	0	944	751	775	1693
13	1883	0	944	751	770	1675
14	1885	0	944	749	770	1691
15	1887	0	939	748	771	1680
0	1888	0	940	750	773	1695
1	1886	0	942	747	770	1670
2	1886	0	939	747	777	1702
3	1888	0	937	745	772	1680
1	1885	0	939	747	768	0
6	512	1032	7	2672	3923	306
12	1893	0	928	753	784	1794
11	1889	0	942	741	763	1711
12	1886	0	944	741	758	1729
13	1885	0	944	741	757	1710
14	1885	0	944	742	765	1727
15	1887	0	942	745	768	1722
0	1887	0	941	743	768	1543
1	1887	0	935	743	765	1309
2	1886	0	938	747	762	2686
3	1887	0	936	745	759	3775
4	1885	0	939	746	762	3773
5	1887	0	935	747	757	2131
6	1888	0	944	748	757	1284
7	1887	0	944	747	759	1814
8	1889	0	943	746	763	1549
9	1888	0	940	749	755	1606
10	1894	0	939	746	756	1606
11	1894	0	941	748	753	1599
12	1892	0	942	747	753	1647
13	1885	0	940	741	757	1615
14	1887	0	941	743	763	1645
15	1885	0	937	747	758	1664
0	1887	0	935	741	763	1687
1	1894	0	939	743	756	1680
2	1889	0	939	746	757	1706
3	1885	0	943	742	753	1709
4	1887	0	943	743	754	1759
5	1887	0	943	741	752	1754
6	1887	0	942	742	762	1808
7	1886	0	945	739	756	1797
8	1886	0	943	741	762	1827
9	1887	0	938	740	762	1823
10	1887	0	934	744	765	1841
11	1886	0	935	743	767	1809
12	1888	0	935	746	757	1808
13	1887	0	943	746	757	1781
14	1891	0	944	750	756	1776
15	1893	0	944	748	757	1738
0	1891	0	942	749	764	1725
1	1888	0	943	749	763	1712
2	1890	0	938	750	765	1726
3	1889	0	942	750	763	1701
4	1889	0	941	746	763	1730
5	1894	0	941	746	763	1712
6	1887	0	939	748	766	1715
7	1889	0	944	746	762	1723
8	1887	0	941	745	759	1762
9	1889	0	941	747	758	1728
10	1891	0	942	743	761	1728
11	1888	0	942	743	765	1702
12	1886	0	941	743	757	1723
13	1889	0	944	743	761	1705
14	1888	0	944	745	760	1722
15	1888	0	943	743	761	1706
0	1888	0	939	742	762	1725
1	1894	0	937	740	759	1691
2	1887	0	939	746	760	1718
3	1891	0	939	742	766	1698
4	1891	0	935	743	759	1707
5	1894	0	943	745	755	1680
6	1894	0	944	746	766	1679
7	1894	0	944	742	763	1647
8	1889	0	944	745	763	1699
9	1893	0	942	743	765	1727
10	1889	0	941	741	765	1776
11	1890	0	944	747	766	1717
12	1890	0	941	750	762	1719
13	1889	0	938	749	766	1696
14	1887	0	939	746	762	1746
15	1888	0	944	749	763	1715
0	1888	0	937	744	765	1701
1	1891	0	943	749	762	1344
2	1889	0	942	741	758	1753
3	1888	0	942	743	762	3535
4	1887	0	942	743	761	3773
5	1886	0	940	738	757	3539
6	1888	0	943	742	762	1138
7	1889	0	944	742	764	1749
8	1889	0	947	736	768	1633
9	1886	0	940	736	770	1557
10	1886	0	934	738	761	1616
11	1887	0	940	739	762	1586
12	1893	0	940	739	766	1618
13	1891	0	943	736	764	1600
14	1888	0	942	735	768	1645
15	1893	0	940	738	767	1643
0	1895	0	937	741	763	1680
1	1887	0	941	742	765	1666
2	1888	0	937	744	759	1694
3	1888	0	942	742	763	1697
4	1890	0	941	743	761	1730
5	1889	0	942	743	763	1745
6	1889	0	943	745	763	1807
7	1889	0	938	746	762	1791
8	1889	0	944	745	762	1827
9	1887	0	940	743	759	1829
10	1888	0	938	745	757	1826
11	1887	0	944	739	760	1803
12	1889	0	940	743	758	1809
13	1891	0	943	747	761	1757
14	1888	0	942	742	759	1771
15	1888	0	940	742	763	1735
0	1889	0	939	745	762	1755
1	1888	0	942	739	762	1712
2	1888	0	944	741	766	1715
3	1893	0	941	740	757	1696
4	1894	0	944	740	762	1714
5	1886	0	944	739	763	1710
6	1888	0	944	738	765	1740
7	1889	0	940	740	763	1712
8	1888	0	939	745	765	1739
9	1890	0	939	743	761	1727
10	1895	0	941	743	763	1741
11	1888	0	942	742	762	1698
12	1894	0	943	743	762	1729
13	1890	0	944	744	765	1739
14	1888	0	944	746	758	1738
15	1889	0	943	745	763	1706
0	1892	0	939	747	761	1727
1	1888	0	942	743	762	1698
2	1889	0	941	744	764	1714
3	1893	0	942	746	765	1697
4	1888	0	943	742	765	1712
5	1887	0	943	743	762	1688
6	1887	0	939	749	767	1699
7	1889	0	939	745	768	1680
8	1887	0	943	745	766	1785
9	1887	0	944	751	766	1771
10	1889	0	943	750	766	1739
11	1887	0	942	752	768	1775
12	1891	0	940	752	767	1662
