#scientisst_nseq	scientisst_raw_AI1	scientisst_raw_AI2	scientisst_raw_AI3	scientisst_raw_AI4	scientisst_raw_AI5	scientisst_raw_AI6
0	0	0	755	766	580	0
1	0	0	757	767	579	0
2	0	0	753	764	581	0
3	0	0	753	763	579	0
4	0	0	754	765	579	0
5	0	0	752	763	585	0
6	0	0	752	763	578	0
7	0	0	755	765	582	0
8	0	0	757	767	581	0
9	0	0	757	766	582	0
10	0	0	755	767	578	0
11	0	0	755	766	583	0
12	0	0	758	763	579	0
13	0	0	754	763	579	0
14	0	0	753	762	579	0
2	0	0	753	766	581	0
6	0	0	752	764	583	0
10	0	0	755	763	581	0
14	0	0	752	767	577	0
2	0	0	752	768	579	0
15	0	0	753	764	582	0
3	0	0	753	763	578	0
7	0	0	753	763	579	0
11	0	0	754	763	578	0
15	0	0	753	763	579	0
0	0	0	757	763	579	0
4	0	0	759	763	581	0
8	0	0	757	766	582	0
12	0	0	756	762	580	0
0	0	0	753	765	579	0
1	0	0	754	763	581	0
5	0	0	756	766	580	0
9	0	0	754	768	582	0
13	0	0	752	764	579	0
1	0	0	754	765	580	0
6	0	0	753	770	577	0
3	0	0	755	766	581	0
4	0	0	753	766	579	0
5	0	0	753	766	580	0
10	0	0	757	763	582	0
7	0	0	756	765	585	0
8	0	0	752	763	578	0
12	0	0	752	765	580	0
0	0	0	753	764	582	0
9	0	0	752	764	578	0
13	0	0	762	763	583	0
14	0	0	756	763	581	0
11	0	0	752	763	579	0
15	0	0	754	765	579	0
4	0	0	753	767	577	0
1	0	0	753	764	581	0
2	0	0	761	766	581	0
3	0	0	755	766	583	0
8	0	0	753	766	579	0
5	0	0	756	765	579	0
6	0	0	754	762	581	0
7	0	0	755	762	583	0
12	0	0	752	769	579	0
9	0	0	757	765	581	0
10	0	0	754	766	581	0
11	0	0	752	765	578	0
0	0	0	753	766	581	0
13	0	0	757	763	578	0
14	0	0	755	763	578	0
15	0	0	757	768	583	0
4	0	0	756	764	580	0
8	0	0	756	765	580	0
1	0	0	752	765	579	0
5	0	0	753	762	579	0
9	0	0	753	766	583	0
2	0	0	757	765	585	0
6	0	0	752	766	578	0
10	0	0	758	766	579	0
3	0	0	753	762	581	0
7	0	0	758	765	579	0
11	0	0	753	765	578	0
12	0	0	753	762	581	0
13	0	0	754	764	581	0
14	0	0	755	765	579	0
15	0	0	754	767	579	0
0	0	0	752	763	583	0
1	0	0	754	765	580	0
2	0	0	754	763	585	0
6	0	0	754	764	579	0
3	0	0	753	766	581	0
7	0	0	759	768	578	0
4	0	0	755	765	579	0
5	0	0	755	763	581	0
10	0	0	753	765	587	0
11	0	0	754	768	582	0
8	0	0	752	765	581	0
9	0	0	754	766	577	0
14	0	0	753	767	581	0
15	0	0	754	763	578	0
12	0	0	761	765	582	0
0	0	0	755	768	581	0
4	0	0	757	765	584	0
8	0	0	754	765	586	0
12	0	0	754	768	581	0
0	0	0	753	764	579	0
13	0	0	753	768	582	0
1	0	0	757	767	580	0
5	0	0	754	763	579	0
9	0	0	755	768	579	0
13	0	0	754	763	583	0
2	0	0	754	766	579	0
6	0	0	752	765	582	0
10	0	0	752	768	578	0
14	0	0	752	762	578	0
3	0	0	753	763	579	0
7	0	0	754	765	581	0
11	0	0	758	766	582	0
4	2	3840	3922	946	2	0
0	0	3840	4002	882	2	0
0	0	3968	4002	930	2	0
3	2	0	124	4	0	2863
0	0	3840	3938	882	2	0
0	0	3840	3938	866	2	0
0	0	3824	3954	882	2	0
0	0	3840	3986	946	2	0
0	0	3824	3986	866	2	0
0	0	3840	4002	882	2	0
0	0	3840	3922	866	2	0
10	1839	35	0	2512	64	0
0	0	3840	3922	850	2	0
0	0	3808	4002	882	2	0
0	0	3840	4002	946	2	0
0	0	3840	3954	850	2	0
0	0	3792	3906	882	2	0
0	0	3792	3986	882	2	0
0	0	2448	64	0	749	759
13	0	0	755	763	581	0
1	0	0	758	767	577	0
5	0	0	753	762	586	0
2	0	0	752	765	581	0
6	0	0	756	763	581	0
10	0	0	755	765	578	0
14	0	0	754	765	585	0
2	0	0	757	763	581	0
6	0	0	753	762	579	0
3	0	0	755	766	579	0
7	0	0	753	763	581	0
11	0	0	754	765	582	0
15	0	0	753	765	579	0
3	0	0	758	764	585	0
7	0	0	752	779	580	0
8	0	0	752	763	578	0
9	0	0	753	762	581	0
10	0	0	753	764	579	0
11	0	0	752	762	579	0
12	0	0	755	765	579	0
13	0	0	755	764	577	0
14	0	0	753	763	579	0
15	0	0	756	763	582	0
0	0	0	752	763	579	0
1	0	0	753	767	579	0
2	0	0	759	763	580	0
3	0	0	754	768	579	0
4	0	0	755	764	579	0
5	0	0	758	763	576	0
6	0	0	759	767	581	0
7	0	0	757	763	579	0
8	0	0	752	765	584	0
12	0	0	753	765	581	0
9	0	0	757	764	581	0
10	0	0	755	762	578	0
11	0	0	757	763	581	0
0	0	0	753	764	579	0
0	0	0	0	0	0	0
14	0	0	752	767	578	0
15	0	0	752	762	577	0
4	0	0	753	761	579	0
1	0	0	758	766	581	0
2	0	0	752	765	578	0
3	0	0	754	763	578	0
8	0	0	752	766	582	0
5	0	0	754	765	586	0
6	0	0	753	763	581	0
7	0	0	755	768	583	0
12	0	0	753	763	579	0
9	0	0	754	764	582	0
10	0	0	755	763	581	0
11	0	0	752	767	582	0
0	0	0	761	767	582	0
13	0	0	755	765	581	0
14	0	0	757	763	578	0
15	0	0	753	765	583	0
4	0	0	755	765	578	0
1	0	0	754	768	582	0
2	0	0	755	763	580	0
3	0	0	753	766	580	0
8	0	0	753	764	578	0
5	0	0	752	768	579	0
6	0	0	753	763	585	0
7	0	0	753	765	579	0
12	0	0	753	761	581	0
9	0	0	752	767	582	0
10	0	0	753	765	583	0
11	0	0	754	766	578	0
0	0	0	755	763	577	0
13	0	0	753	763	582	0
14	0	0	753	768	585	0
15	0	0	755	763	583	0
4	0	0	754	766	583	0
1	0	0	754	766	581	0
2	0	0	754	764	583	0
3	0	0	753	762	579	0
8	0	0	755	769	580	0
5	0	0	753	768	579	0
6	0	0	755	766	579	0
7	0	0	757	761	581	0
12	0	0	754	765	580	0
9	0	0	752	763	579	0
10	0	0	752	765	578	0
11	0	0	752	758	578	0
0	0	0	752	764	581	0
13	0	0	754	762	581	0
14	0	0	755	767	580	0
15	0	0	757	759	579	0
4	0	0	754	763	579	0
1	0	0	757	761	577	0
2	0	0	754	763	579	0
3	0	0	757	761	578	0
8	0	0	753	766	579	0
5	0	0	754	767	583	0
6	0	0	753	765	579	0
7	0	0	753	762	579	0
12	0	0	758	763	579	0
9	0	0	757	766	580	0
10	0	0	758	768	582	0
11	0	0	753	766	578	0
0	0	0	754	767	581	0
13	0	0	753	764	579	0
14	0	0	753	763	582	0
15	0	0	754	765	583	0
4	0	0	755	765	582	0
1	0	0	757	763	583	0
2	0	0	753	765	579	0
3	0	0	754	764	581	0
8	0	0	753	765	582	0
5	0	0	755	765	578	0
6	0	0	752	763	578	0
7	0	0	752	762	579	0
12	0	0	752	763	579	0
9	0	0	754	769	580	0
10	0	0	752	767	584	0
11	0	0	752	766	579	0
0	0	0	752	765	579	0
13	0	0	753	763	580	0
14	0	0	753	766	578	0
15	0	0	752	763	581	0
4	0	0	758	764	582	0
1	0	0	754	762	581	0
2	0	0	756	766	581	0
6	0	0	752	766	579	0
3	0	0	753	765	579	0
8	0	0	755	766	579	0
5	0	0	754	765	579	0
10	0	0	755	765	581	0
7	0	0	753	765	586	0
12	0	0	752	764	581	0
9	0	0	754	767	578	0
14	0	0	755	767	582	0
11	0	0	752	765	579	0
0	0	0	754	765	581	0
13	0	0	752	763	579	0
2	0	0	757	766	582	0
15	0	0	755	766	578	0
4	0	0	755	766	585	0
1	0	0	754	763	582	0
6	0	0	753	763	579	0
3	0	0	754	763	585	0
8	0	0	754	762	582	0
5	0	0	758	763	580	0
10	0	0	757	768	582	0
7	0	0	753	768	583	0
12	0	0	752	762	579	0
9	0	0	753	764	586	0
14	0	0	756	767	578	0
11	0	0	752	768	583	0
0	0	0	755	767	576	0
13	0	0	752	766	579	0
2	0	0	756	763	578	0
15	0	0	755	763	579	0
4	0	0	753	768	578	0
1	0	0	753	762	580	0
6	0	0	755	765	581	0
3	0	0	752	765	578	0
8	0	0	753	766	577	0
5	0	0	753	763	579	0
10	0	0	752	765	579	0
7	0	0	753	763	579	0
12	0	0	755	763	579	0
9	0	0	753	765	579	0
14	0	0	753	766	578	0
11	0	0	755	762	579	0
0	0	0	754	763	578	0
13	0	0	754	767	581	0
2	0	0	753	763	581	0
15	0	0	754	762	581	0
4	0	0	752	764	581	0
1	0	0	753	766	578	0
6	0	0	757	768	581	0
3	0	0	755	764	579	0
8	0	0	753	765	581	0
5	0	0	753	765	576	0
10	0	0	754	766	581	0
7	0	0	757	765	587	0
12	0	0	752	763	580	0
9	0	0	754	762	582	0
14	0	0	754	763	582	0
11	0	0	759	768	577	0
0	0	0	757	766	576	0
13	0	0	752	763	582	0
2	0	0	752	763	576	0
15	0	0	757	763	579	0
4	0	0	753	762	580	0
1	0	0	753	764	579	0
6	0	0	754	763	581	0
3	0	0	757	766	579	0
8	0	0	754	768	584	0
5	0	0	753	763	578	0
10	0	0	754	766	580	0
7	0	0	753	764	582	0
12	0	0	752	757	581	0
9	0	0	757	763	581	0
14	0	0	753	766	579	0
11	0	0	753	762	581	0
0	0	0	752	766	584	0
13	0	0	753	765	579	0
2	0	0	753	764	579	0
15	0	0	755	763	578	0
4	0	0	757	763	579	0
1	0	0	752	766	581	0
6	0	0	754	767	580	0
3	0	0	753	763	579	0
8	0	0	753	764	577	0
5	0	0	757	765	580	0
10	0	0	752	764	582	0
7	0	0	752	767	582	0
12	0	0	755	759	585	0
9	0	0	754	765	581	0
14	0	0	759	762	579	0
11	0	0	759	763	580	0
0	0	0	756	767	581	0
13	0	0	755	767	579	0
2	0	0	753	763	580	0
15	0	0	753	763	577	0
4	0	0	754	763	581	0
1	0	0	752	764	582	0
6	0	0	752	767	581	0
3	0	0	759	766	579	0
8	0	0	753	759	582	0
5	0	0	754	767	582	0
10	0	0	755	763	579	0
7	0	0	754	763	581	0
12	0	0	752	765	582	0
9	0	0	752	766	581	0
14	0	0	756	765	579	0
11	0	0	754	765	579	0
0	0	0	753	768	579	0
13	0	0	757	762	579	0
2	0	0	755	763	581	0
15	0	0	753	766	579	0
4	0	0	752	767	581	0
1	0	0	752	765	577	0
6	0	0	752	766	579	0
3	0	0	752	762	583	0
8	0	0	752	767	583	0
5	0	0	752	765	579	0
10	0	0	757	763	583	0
7	0	0	753	763	577	0
12	0	0	752	763	583	0
9	0	0	755	763	582	0
14	0	0	757	765	581	0
11	0	0	753	762	580	0
0	0	0	756	765	580	0
13	0	0	754	765	576	0
2	0	0	763	765	583	0
15	0	0	754	763	581	0
4	0	0	754	771	578	0
1	0	0	758	765	579	0
6	0	0	754	768	582	0
3	0	0	755	767	579	0
8	0	0	753	763	579	0
5	0	0	752	761	577	0
10	0	0	755	765	577	0
7	0	0	753	767	579	0
12	0	0	756	765	577	0
9	0	0	753	763	576	0
14	0	0	752	764	579	0
11	0	0	756	766	578	0
0	0	0	752	766	579	0
13	0	0	754	766	581	0
2	0	0	755	762	584	0
15	0	0	752	765	579	0
4	0	0	758	763	583	0
1	0	0	755	766	579	0
6	0	0	753	768	579	0
3	0	0	757	764	581	0
8	0	0	753	766	581	0
5	0	0	754	766	583	0
10	0	0	756	765	579	0
7	0	0	755	766	579	0
12	0	0	753	768	581	0
9	0	0	757	765	585	0
14	0	0	755	763	581	0
11	0	0	754	763	579	0
0	0	0	754	767	579	0
13	0	0	754	763	582	0
2	0	0	754	761	581	0
15	0	0	755	765	580	0
4	0	0	753	762	579	0
1	0	0	757	766	582	0
6	0	0	754	766	579	0
3	0	0	752	764	581	0
8	0	0	754	765	578	0
5	0	0	753	763	580	0
10	0	0	755	766	577	0
7	0	0	754	763	581	0
12	0	0	755	762	578	0
9	0	0	752	766	576	0
14	0	0	754	765	580	0
11	0	0	758	768	579	0
0	0	0	752	763	579	0
13	0	0	754	766	581	0
2	0	0	755	763	577	0
15	0	0	752	768	585	0
4	0	0	754	765	581	0
1	0	0	757	766	581	0
6	0	0	757	764	580	0
3	0	0	753	766	578	0
8	0	0	753	762	578	0
5	0	0	758	766	581	0
10	0	0	755	763	582	0
7	0	0	755	759	581	0
12	0	0	756	762	579	0
9	0	0	755	763	576	0
14	0	0	755	765	578	0
11	0	0	752	765	581	0
0	0	0	759	763	578	0
13	0	0	755	765	579	0
2	0	0	752	759	579	0
15	0	0	752	765	579	0
4	0	0	752	765	578	0
1	0	0	754	762	580	0
6	0	0	753	764	579	0
3	0	0	754	764	579	0
8	0	0	762	762	579	0
5	0	0	752	763	579	0
10	0	0	755	763	578	0
7	0	0	754	762	581	0
12	0	0	753	767	581	0
9	0	0	755	766	577	0
14	0	0	753	764	579	0
11	0	0	755	765	579	0
0	0	0	753	764	578	0
13	0	0	754	763	580	0
2	0	0	757	763	581	0
15	0	0	752	763	583	0
4	0	0	756	763	584	0
1	0	0	755	763	581	0
6	0	0	752	765	579	0
3	0	0	753	763	579	0
8	0	0	755	765	576	0
5	0	0	757	765	579	0
10	0	0	753	766	586	0
7	0	0	753	763	578	0
12	0	0	758	764	576	0
9	0	0	752	769	571	0
14	0	0	754	763	582	0
11	0	0	752	763	581	0
0	0	0	750	768	581	0
13	0	0	754	758	586	0
2	0	0	757	762	576	0
15	0	0	752	765	579	0
4	0	0	763	766	576	0
1	0	0	751	766	579	0
6	0	0	752	763	579	0
3	0	0	763	766	578	0
8	0	0	752	765	582	0
5	0	0	755	766	577	0
10	0	0	753	763	576	0
7	0	0	750	763	578	0
12	0	0	752	766	579	0
9	0	0	755	762	579	0
14	0	0	763	761	579	0
11	0	0	752	766	577	0
0	0	0	757	766	583	0
13	0	0	755	763	579	0
2	0	0	752	762	583	0
15	0	0	759	763	578	0
4	0	0	755	764	585	0
1	0	0	748	767	582	0
6	0	0	752	765	578	0
3	0	0	752	766	578	0
8	0	0	756	762	578	0
5	0	0	754	762	578	0
10	0	0	757	763	578	0
7	0	0	753	768	579	0
12	0	0	747	765	583	0
9	0	0	762	764	582	0
14	0	0	755	762	579	0
11	0	0	753	765	578	0
0	0	0	757	766	578	0
13	0	0	753	769	580	0
2	0	0	752	766	582	0
15	0	0	761	766	582	0
4	0	0	759	762	577	0
1	0	0	753	763	579	0
6	0	0	752	762	582	0
3	0	0	754	765	577	0
8	0	0	755	764	581	0
5	0	0	757	764	577	0
10	0	0	755	763	577	0
7	0	0	751	767	578	0
12	0	0	753	767	576	0
9	0	0	759	765	577	0
14	0	0	755	766	580	0
11	0	0	754	765	577	0
0	0	0	752	762	583	0
13	0	0	753	764	579	0
2	0	0	753	763	579	0
15	0	0	754	763	582	0
4	0	0	759	763	582	0
1	0	0	752	767	586	0
6	0	0	755	767	578	0
3	0	0	752	762	577	0
8	0	0	752	763	579	0
5	0	0	752	763	577	0
10	0	0	753	765	579	0
7	0	0	752	766	578	0
12	0	0	752	763	580	0
9	0	0	755	764	582	0
14	0	0	755	766	579	0
11	0	0	754	767	576	0
0	0	0	754	766	582	0
13	0	0	752	767	582	0
2	0	0	754	763	578	0
15	0	0	753	768	579	0
4	0	0	757	766	583	0
1	0	0	757	767	583	0
6	0	0	755	765	578	0
3	0	0	757	766	581	0
8	0	0	755	765	578	0
5	0	0	755	767	578	0
10	0	0	755	765	578	0
7	0	0	753	764	578	0
12	0	0	757	765	583	0
9	0	0	753	764	576	0
14	0	0	752	765	578	0
11	0	0	752	763	582	0
0	0	0	755	763	583	0
13	0	0	754	762	579	0
2	0	0	756	763	577	0
15	0	0	754	767	579	0
4	0	0	753	762	578	0
1	0	0	752	763	579	0
6	0	0	753	762	581	0
3	0	0	752	763	577	0
8	0	0	759	763	579	0
5	0	0	754	767	579	0
10	0	0	754	765	579	0
7	0	0	752	768	582	0
12	0	0	755	765	580	0
9	0	0	755	764	579	0
14	0	0	754	763	582	0
11	0	0	754	765	576	0
0	0	0	755	765	580	0
13	0	0	752	765	579	0
2	0	0	753	766	579	0
15	0	0	753	766	581	0
4	0	0	754	763	578	0
1	0	0	755	763	580	0
6	0	0	753	763	581	0
3	0	0	753	763	581	0
8	0	0	754	764	579	0
5	0	0	754	768	576	0
10	0	0	757	767	582	0
7	0	0	753	763	578	0
12	0	0	752	765	578	0
9	0	0	752	766	582	0
14	0	0	752	763	577	0
11	0	0	755	767	579	0
0	0	0	755	763	581	0
13	0	0	754	761	581	0
2	0	0	755	765	581	0
15	0	0	755	763	582	0
4	0	0	757	764	578	0
1	0	0	757	767	581	0
6	0	0	757	765	577	0
3	0	0	753	762	581	0
8	0	0	753	767	576	0
5	0	0	754	765	578	0
10	0	0	753	766	579	0
7	0	0	752	762	583	0
12	0	0	754	763	583	0
9	0	0	753	765	580	0
14	0	0	754	767	579	0
11	0	0	752	766	577	0
0	0	0	752	763	577	0
13	0	0	752	762	579	0
2	0	0	755	766	583	0
15	0	0	754	766	579	0
4	0	0	759	766	579	0
1	0	0	757	764	578	0
6	0	0	755	763	583	0
3	0	0	754	766	580	0
8	0	0	755	765	579	0
5	0	0	752	763	581	0
10	0	0	754	764	580	0
7	0	0	753	765	581	0
12	0	0	755	765	577	0
9	0	0	752	763	581	0
14	0	0	752	765	577	0
11	0	0	759	767	578	0
0	0	0	753	761	578	0
13	0	0	754	766	579	0
2	0	0	756	766	576	0
15	0	0	752	763	577	0
4	0	0	757	763	579	0
1	0	0	753	763	581	0
6	0	0	753	763	582	0
3	0	0	759	768	581	0
8	0	0	755	766	577	0
5	0	0	756	767	587	0
10	0	0	753	763	577	0
7	0	0	757	765	579	0
12	0	0	752	766	581	0
9	0	0	754	762	578	0
14	0	0	752	765	579	0
11	0	0	761	765	581	0
0	0	0	753	763	579	0
13	0	0	753	765	576	0
2	0	0	752	763	585	0
15	0	0	753	768	579	0
4	0	0	755	765	580	0
1	0	0	754	762	581	0
6	0	0	757	763	580	0
3	0	0	755	766	579	0
8	0	0	753	763	580	0
5	0	0	753	766	578	0
10	0	0	753	767	580	0
7	0	0	752	766	582	0
12	0	0	752	770	581	0
9	0	0	753	763	579	0
14	0	0	757	765	578	0
11	0	0	755	762	578	0
0	0	0	754	766	579	0
13	0	0	757	765	581	0
2	0	0	757	768	579	0
15	0	0	753	767	579	0
4	0	0	755	762	578	0
1	0	0	752	768	581	0
6	0	0	753	763	579	0
3	0	0	753	768	581	0
8	0	0	756	766	576	0
5	0	0	752	764	579	0
10	0	0	755	763	578	0
7	0	0	753	766	581	0
12	0	0	755	767	580	0
9	0	0	757	763	580	0
14	0	0	753	767	579	0
11	0	0	755	769	581	0
0	0	0	754	763	578	0
13	0	0	753	766	579	0
2	0	0	754	765	580	0
15	0	0	754	762	580	0
4	0	0	753	767	578	0
1	0	0	754	769	579	0
6	0	0	754	764	578	0
3	0	0	753	765	580	0
8	0	0	754	763	580	0
5	0	0	753	767	579	0
10	0	0	752	763	579	0
7	0	0	753	763	577	0
12	0	0	754	765	577	0
9	0	0	755	763	578	0
14	0	0	757	766	577	0
11	0	0	753	763	581	0
0	0	0	756	767	581	0
13	0	0	756	765	576	0
2	0	0	755	766	579	0
15	0	0	755	766	583	0
4	0	0	752	763	581	0
1	0	0	758	762	582	0
6	0	0	753	765	581	0
3	0	0	752	767	578	0
8	0	0	757	765	578	0
5	0	0	755	763	582	0
10	0	0	753	772	583	0
7	0	0	757	765	577	0
12	0	0	757	763	578	0
9	0	0	754	765	576	0
14	0	0	752	762	582	0
11	0	0	754	762	580	0
0	0	0	753	763	579	0
13	0	0	753	763	586	0
2	0	0	759	765	579	0
15	0	0	752	763	579	0
4	0	0	754	768	577	0
1	0	0	757	768	579	0
6	0	0	754	761	581	0
3	0	0	755	762	576	0
8	0	0	753	767	579	0
5	0	0	755	762	579	0
10	0	0	753	762	581	0
7	0	0	753	759	579	0
12	0	0	756	763	582	0
9	0	0	753	765	578	0
14	0	0	754	768	582	0
11	0	0	752	764	577	0
0	0	0	756	763	576	0
13	0	0	753	765	579	0
2	0	0	753	764	580	0
15	0	0	754	767	579	0
4	0	0	754	765	578	0
1	0	0	762	766	578	0
6	0	0	755	764	580	0
3	0	0	753	769	579	0
8	0	0	752	764	579	0
5	0	0	753	769	579	0
10	0	0	755	762	577	0
7	0	0	754	764	577	0
12	0	0	755	763	579	0
9	0	0	752	766	580	0
14	0	0	754	762	578	0
11	0	0	757	763	579	0
0	0	0	752	764	583	0
13	0	0	753	765	583	0
2	0	0	757	767	578	0
15	0	0	752	764	579	0
4	0	0	752	763	582	0
1	0	0	754	768	580	0
6	0	0	755	763	578	0
3	0	0	753	765	580	0
8	0	0	752	767	578	0
5	0	0	757	762	582	0
10	0	0	756	768	578	0
7	0	0	754	766	582	0
12	0	0	753	764	582	0
9	0	0	752	763	580	0
14	0	0	754	761	579	0
11	0	0	753	768	576	0
0	0	0	752	763	579	0
13	0	0	754	763	582	0
2	0	0	754	765	583	0
15	0	0	752	759	578	0
4	0	0	754	765	580	0
1	0	0	752	766	580	0
6	0	0	752	763	577	0
3	0	0	752	763	577	0
8	0	0	752	768	582	0
5	0	0	753	768	581	0
10	0	0	752	763	581	0
7	0	0	754	764	579	0
12	0	0	754	763	581	0
9	0	0	754	768	577	0
14	0	0	758	765	578	0
11	0	0	754	766	583	0
0	0	0	754	767	581	0
13	0	0	753	765	579	0
2	0	0	752	765	581	0
15	0	0	753	765	582	0
4	0	0	755	765	583	0
1	0	0	752	766	579	0
6	0	0	756	765	579	0
3	0	0	752	765	581	0
8	0	0	755	765	578	0
5	0	0	752	765	581	0
10	0	0	752	765	577	0
7	0	0	752	761	579	0
12	0	0	754	765	582	0
9	0	0	756	768	578	0
14	0	0	752	767	585	0
11	0	0	753	767	580	0
0	0	0	754	766	579	0
13	0	0	752	762	581	0
2	0	0	752	762	579	0
15	0	0	754	767	582	0
4	0	0	754	764	580	0
1	0	0	753	765	577	0
6	0	0	757	765	581	0
3	0	0	754	764	581	0
8	0	0	755	763	577	0
5	0	0	754	766	579	0
10	0	0	758	765	579	0
7	0	0	753	763	579	0
12	0	0	752	763	578	0
9	0	0	752	767	577	0
14	0	0	754	763	581	0
11	0	0	754	765	578	0
0	0	0	754	764	578	0
13	0	0	755	763	576	0
2	0	0	755	763	577	0
15	0	0	752	762	580	0
4	0	0	755	767	578	0
1	0	0	753	763	579	0
6	0	0	757	766	577	0
3	0	0	752	763	578	0
8	0	0	755	763	578	0
5	0	0	752	765	579	0
10	0	0	753	769	582	0
7	0	0	757	765	577	0
12	0	0	752	764	581	0
9	0	0	753	763	579	0
14	0	0	753	764	578	0
11	0	0	753	763	579	0
0	0	0	754	763	579	0
13	0	0	753	763	579	0
2	0	0	762	759	579	0
15	0	0	759	763	576	0
4	0	0	752	762	582	0
1	0	0	754	765	579	0
6	0	0	752	762	579	0
3	0	0	752	763	579	0
8	0	0	753	763	579	0
5	0	0	752	764	582	0
10	0	0	752	768	579	0
7	0	0	753	763	580	0
12	0	0	755	767	577	0
9	0	0	754	763	578	0
14	0	0	752	765	577	0
11	0	0	754	762	581	0
0	0	0	759	763	578	0
13	0	0	756	762	582	0
2	0	0	753	766	583	0
15	0	0	752	768	579	0
4	0	0	752	767	580	0
1	0	0	755	763	578	0
6	0	0	755	764	579	0
3	0	0	753	762	579	0
8	0	0	752	763	577	0
5	0	0	755	766	578	0
10	0	0	758	768	582	0
7	0	0	756	766	579	0
12	0	0	753	768	581	0
9	0	0	754	763	577	0
14	0	0	755	765	578	0
11	0	0	754	763	578	0
0	0	0	752	763	577	0
13	0	0	753	765	581	0
2	0	0	753	765	578	0
15	0	0	753	765	579	0
4	0	0	758	763	577	0
1	0	0	756	765	578	0
6	0	0	756	767	579	0
3	0	0	754	766	579	0
8	0	0	753	763	579	0
5	0	0	755	767	578	0
10	0	0	753	765	577	0
7	0	0	754	766	578	0
12	0	0	754	763	577	0
9	0	0	757	763	576	0
14	0	0	754	768	581	0
11	0	0	754	764	578	0
0	0	0	762	765	582	0
13	0	0	757	766	580	0
2	0	0	754	763	581	0
15	0	0	754	765	582	0
4	0	0	754	766	581	0
1	0	0	757	768	579	0
6	0	0	751	775	579	0
3	0	0	752	766	580	0
8	0	0	755	764	585	0
5	0	0	753	768	580	0
10	0	0	753	764	577	0
7	0	0	757	765	578	0
12	0	0	756	763	581	0
9	0	0	753	766	581	0
14	0	0	753	762	579	0
11	0	0	757	764	579	0
0	0	0	755	765	581	0
13	0	0	752	765	581	0
2	0	0	755	762	581	0
15	0	0	752	767	579	0
4	0	0	754	767	577	0
1	0	0	755	764	577	0
6	0	0	755	763	577	0
3	0	0	754	763	578	0
8	0	0	758	765	577	0
5	0	0	752	768	577	0
10	0	0	753	765	578	0
7	0	0	754	764	579	0
12	0	0	755	764	579	0
9	0	0	756	768	578	0
14	0	0	754	763	579	0
11	0	0	753	766	580	0
0	0	0	754	768	581	0
13	0	0	753	765	580	0
2	0	0	758	766	581	0
15	0	0	755	763	579	0
4	0	0	761	762	579	0
1	0	0	755	765	581	0
6	0	0	752	763	579	0
3	0	0	757	762	578	0
8	0	0	754	768	580	0
5	0	0	753	770	578	0
10	0	0	753	763	583	0
7	0	0	755	766	583	0
12	0	0	753	767	583	0
9	0	0	753	764	577	0
14	0	0	757	765	578	0
11	0	0	758	763	579	0
0	0	0	755	763	581	0
13	0	0	754	765	578	0
2	0	0	756	763	578	0
15	0	0	753	762	579	0
4	0	0	757	768	578	0
1	0	0	754	759	582	0
6	0	0	755	766	577	0
3	0	0	755	763	579	0
8	0	0	752	764	581	0
5	0	0	753	765	579	0
10	0	0	752	763	578	0
7	0	0	753	762	583	0
12	0	0	752	763	578	0
9	0	0	752	763	578	0
14	0	0	759	765	576	0
11	0	0	752	766	576	0
0	0	0	753	763	578	0
13	0	0	756	766	579	0
2	0	0	753	764	581	0
15	0	0	752	764	579	0
4	0	0	754	763	579	0
1	0	0	752	763	577	0
6	0	0	754	763	582	0
3	0	0	753	767	577	0
8	0	0	754	767	582	0
5	0	0	753	765	578	0
10	0	0	752	766	582	0
7	0	0	755	765	579	0
12	0	0	754	765	580	0
9	0	0	753	764	577	0
14	0	0	756	762	582	0
11	0	0	753	765	579	0
0	0	0	755	767	583	0
13	0	0	755	765	579	0
2	0	0	755	763	577	0
15	0	0	754	763	578	0
4	0	0	757	763	576	0
1	0	0	754	765	577	0
6	0	0	754	763	578	0
3	0	0	757	764	577	0
