#scientisst_nseq	scientisst_raw_AI1	scientisst_raw_AI2	scientisst_raw_AI3	scientisst_raw_AI4	scientisst_raw_AI5	scientisst_raw_AI6
0	0	573	765	752	0	0
1	0	573	761	755	0	0
2	0	572	762	752	0	0
3	0	574	764	757	0	0
4	0	571	762	755	0	0
5	0	571	762	753	0	0
6	0	570	762	754	0	0
7	0	571	764	752	0	0
8	0	573	763	752	0	0
9	0	572	766	753	0	0
10	0	571	763	753	0	0
11	0	577	761	752	0	0
12	0	570	763	753	0	0
13	0	569	763	752	0	0
14	0	570	763	751	0	0
15	0	571	765	752	0	0
0	0	571	762	757	0	0
1	0	573	766	752	0	0
2	0	567	758	752	0	0
3	0	573	759	752	0	0
4	0	570	761	752	0	0
5	0	571	762	753	0	0
6	0	573	766	753	0	0
7	0	573	762	753	0	0
8	0	572	762	753	0	0
9	0	571	761	752	0	0
10	0	570	762	752	0	0
11	0	571	761	752	0	0
12	0	573	759	752	0	0
13	0	573	762	754	0	0
14	0	574	762	753	0	0
15	0	574	765	753	0	0
0	0	571	762	752	0	0
1	0	574	765	752	0	0
2	0	573	766	753	0	0
3	0	570	767	754	0	0
4	0	570	763	752	0	0
5	0	573	759	752	0	0
6	0	569	768	753	0	0
7	0	573	759	754	0	0
8	0	574	767	753	0	0
9	0	571	766	752	0	0
10	0	571	766	752	0	0
11	0	572	766	753	0	0
12	0	571	760	755	0	0
13	0	571	759	752	0	0
14	0	569	761	752	0	0
15	0	572	762	752	0	0
0	0	570	763	754	0	0
1	0	571	762	752	0	0
2	0	574	762	756	0	0
3	0	571	763	753	0	0
4	0	571	767	752	0	0
5	0	571	763	754	0	0
6	0	573	762	753	0	0
7	0	571	764	754	0	0
8	0	575	765	752	0	0
9	0	576	762	753	0	0
10	0	571	763	754	0	0
11	0	573	763	752	0	0
12	0	571	760	752	0	0
13	0	571	762	756	0	0
14	0	570	759	752	0	0
15	0	571	762	752	0	0
0	0	573	759	752	0	0
1	0	570	766	753	0	0
2	0	571	761	753	0	0
3	0	575	762	754	0	0
4	0	575	761	754	0	0
5	0	571	766	752	0	0
6	0	574	761	753	0	0
7	0	571	761	752	0	0
8	0	574	762	753	0	0
9	0	571	762	755	0	0
10	0	571	765	756	0	0
11	0	571	763	752	0	0
12	0	573	761	752	0	0
13	0	574	763	752	0	0
14	0	572	765	755	0	0
15	0	571	759	755	0	0
0	0	570	763	755	0	0
1	0	572	759	753	0	0
2	0	572	759	752	0	0
3	0	571	763	752	0	0
4	0	573	761	752	0	0
5	0	571	762	756	0	0
6	0	567	765	755	0	0
7	0	573	762	751	0	0
8	0	574	762	755	0	0
9	0	571	762	753	0	0
10	0	570	761	752	0	0
11	0	570	764	754	0	0
12	0	571	761	753	0	0
13	0	575	764	752	0	0
14	0	573	763	752	0	0
15	0	570	762	754	0	0
0	0	571	764	755	0	0
1	0	571	767	752	0	0
2	0	571	766	754	0	0
3	0	571	759	757	0	0
4	0	571	767	754	0	0
5	0	572	762	753	0	0
6	0	575	762	758	0	0
7	0	569	765	755	0	0
8	0	570	761	754	0	0
9	0	571	765	757	0	0
10	0	571	768	755	0	0
11	0	573	763	752	0	0
12	0	570	762	753	0	0
13	0	572	762	752	0	0
14	0	570	763	753	0	0
15	0	571	762	753	0	0
0	0	572	762	753	0	0
1	0	576	763	752	0	0
2	0	569	758	752	0	0
3	0	571	761	753	0	0
4	0	573	763	754	0	0
5	0	573	762	752	0	0
6	0	572	762	752	0	0
7	0	571	764	752	0	0
8	0	571	762	752	0	0
9	0	570	761	752	0	0
10	0	572	761	752	0	0
11	0	573	762	755	0	0
12	0	571	762	755	0	0
13	0	573	762	752	0	0
14	0	571	762	753	0	0
15	0	574	759	753	0	0
0	0	574	760	752	0	0
1	0	569	761	752	0	0
2	0	570	761	752	0	0
3	0	570	766	753	0	0
4	0	575	765	753	0	0
5	0	572	764	753	0	0
6	0	571	761	755	0	0
7	0	572	761	752	0	0
8	0	573	761	754	0	0
9	0	576	764	753	0	0
10	0	571	765	752	0	0
11	0	570	763	754	0	0
12	0	571	763	755	0	0
13	0	574	762	752	0	0
14	0	573	759	753	0	0
15	0	574	761	752	0	0
0	0	572	761	752	0	0
1	0	574	763	755	0	0
2	0	571	762	752	0	0
3	0	570	763	754	0	0
4	0	573	762	753	0	0
5	0	571	759	755	0	0
6	0	570	768	752	0	0
7	0	571	762	752	0	0
8	0	571	761	752	0	0
9	0	570	759	753	0	0
10	0	570	762	755	0	0
11	0	570	759	752	0	0
12	0	571	763	753	0	0
13	0	573	757	755	0	0
14	0	574	762	758	0	0
15	0	567	761	753	0	0
0	0	571	763	751	0	0
1	0	579	764	751	0	0
2	0	576	763	752	0	0
3	0	570	759	759	0	0
4	0	569	761	752	0	0
5	0	571	758	753	0	0
